source,target,weight
bu,servic,53
live,togeth,15
southern,camp,15
separ,px,14
not,ride,12
home,with,10
guard,hous,9
near,home,9
northern,camp,9
bed,check,8
same,px,8
camp,lee,7
armi,post,6
bu,transport,6
fort,huachuca,6
home,town,6
px,servic,6
camp,claiborn,5
camp,with,5
close,home,5
home,front,5
live,happi,5
negro,post,5
not,live,5
town,polic,5
white,hous,5
bu,driver,4
bu,situat,4
bu,with,4
camp,near,4
camp,not,4
color,px,4
eat,togeth,4
fort,custer,4
furlough,home,4
hous,divid,4
live,with,4
near,town,4
not,eat,4
post,command,4
return,home,4
separ,bu,4
town,with,4
bad,camp,3
bu,line,3
bu,system,3
camp,close,3
camp,fort,3
camp,grubl,3
camp,rucker,3
camp,shelbi,3
differ,camp,3
eat,sleep,3
eat,with,3
fort,dix,3
induct,station,3
mix,camp,3
negro,camp,3
nice,camp,3
not,home,3
ride,bu,3
same,camp,3
soldier,station,3
station,close,3
white,px,3
write,home,3
bed,creek,2
bu,leav,2
bu,pass,2
bu,ride,2
bu,station,2
bu,train,2
cafe,sit,2
camp,bu,2
camp,ft,2
camp,murrai,2
camp,shelli,2
camp,soldier,2
camp,togeth,2
camp,treat,2
camp,white,2
color,post,2
eastern,camp,2
eat,plai,2
fort,hauchuca,2
fort,sill,2
front,seat,2
govern,theater,2
heat,barrack,2
home,5,2
individu,px,2
isol,camp,2
live,eat,2
miss,bed,2
nere,home,2
not,station,2
patient,eat,2
poor,bu,2
post,t.a.f.,2
post,war,2
px,serviceclub,2
radio,station,2
same,barrack,2
same,serviceclub,2
same,theater,2
send,home,2
set,seat,2
soldier,home,2
southern,town,2
station,hospit,2
togeth,eat,2
town,71,2
train,camp,2
train,negro,2
train,togeth,2
visit,home,2
white,bu,2
