id,word
1,negro
2,intercours
3,like
4,wife
5,coloredsoldi
6,with
7,35
8,colorman
9,marri
10,mother
11,soldier
12,woman
13,american
14,babi
15,bu
16,child
17,civilian
18,clean
19,col
20,colod
21,dear
22,father
23,girl
24,girlfriend
25,graduat
26,holler
27,intend
28,interraci
29,marriag
30,meet
31,negrosoldi
32,negrowoman
33,punish
34,reasent
35,sea
36,sex
37,sister
38,take
39,transfer
40,whip
41,white
42,whiteboi
43,whiteman
44,whitewoman
45,soildier
46,ag
47,armi
48,blond
49,boi
50,brother
51,civ
52,engag
53,kid
54,offic
55,respect
56,send
57,life
58,fuck
59,sick
60,enter
61,join
62,close
63,rape
64,colorwoman
65,negroboi
66,offici
67,certif
68,65
69,camp
70,dad
71,far
72,tell
73,attain
74,associ
75,70
76,immediatli
77,withour
78,aint
79,leav
80,live
81,refus
82,secur
83,sickli
84,sweetheart
85,eaven
86,insult
87,qualifi
88,walk
89,depend
90,allot
91,compar
92,die
93,expect
94,major
95,set
96,auxiliari
97,remain
98,respons
99,waac
100,worker
